ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Kendrick Lamar - Mr. Morale & The Big Steppers,32,hip hop,2,,6,4,4,10,1,25,1,3,6,,5,17,19,12,,2,2,,7,26,,34,3,5,5,,23,20,10,32,11,13,20,7,16,11,,7,,20,3,26,8,22,,,11.79,0.3102493075,20.21428571,38,21,2
Beyoncé - RENAISSANCE,1,pop,4,,8,2,2,1,4,3,,2,2,5,,16,,18,,1,33,,11,,,27,13,4,3,27,9,1,13,8,,1,1,,2,1,,2,,2,11,6,,37,,,8.48,0.2571166208,25.6547619,33,23,6
Wet Leg - Wet Leg,33,rock,3,32,,10,44,15,,,22,6,5,,3,36,5,22,,8,4,,,10,,2,6,8,2,8,12,31,5,4,6,,14,,,10,9,17,,13,25,34,7,1,,,12.91,0.3797577855,26.05952381,34,21,1
Big Thief - Dragon New Warm Mountain I Believe In You,9,rock,,12,1,33,7,8,,7,,4,3,,6,,,,,24,8,,24,,,,2,14,24,2,3,4,1,1,33,7,12,,,35,31,1,2,8,16,2,5,7,,,10.84,0.3388671875,27.94047619,32,21,4
The Smile - A Light for Attracting Attention,37,rock,9,,11,32,28,27,,27,,17,12,,15,,,31,,,,,30,40,,11,33,,38,9,32,,2,29,17,21,3,,5,,2,,,22,4,11,1,5,27,,18.37,0.6122222222,33.3452381,30,9,1
Alvvays - Blue Rev,3,rock,,1,24,,23,40,,30,,,1,25,23,48,13,1,26,25,,,,,,,38,,30,1,2,33,,3,,3,,,,12,32,3,4,1,,3,,4,,,16.63,0.6159122085,36.5952381,27,12,5
Fontaines D.C. - Skinty Fia,94,rock,,,,,,31,,,6,9,32,,9,7,4,,,9,1,,,2,,10,1,7,4,30,1,,3,,14,,28,,,34,4,,,,13,13,17,24,,,12.52,0.5008,37.95238095,25,15,3
ROSALÍA - MOTOMAMI,4,pop,,,39,5,5,6,31,9,2,16,,3,,34,,13,29,5,,,,,,,,,9,24,,3,4,26,,6,19,,4,4,,6,14,2,,,,,,,12.72,0.5088,38.01190476,25,15,0
Jockstrap - I Love You Jennifer B,17,pop,,,7,,8,3,,20,16,,,14,48,23,,,1,7,,,2,,,36,29,2,14,3,17,,,33,5,15,47,1,,,24,27,,,,,26,30,,,17.62,0.6775147929,38.19047619,26,10,2
"Black Country, New Roads - Ants From Up There",29,rock,,7,3,,,23,,42,,,24,42,40,,,,,,,,,,,46,4,31,11,7,6,,7,5,38,49,10,,13,,6,10,5,,7,48,27,14,,,20.19,0.7766272189,38.98809524,26,12,0
"Weyes Blood - And in the Darkness, Hearts Aglow",2,pop,14,,10,,,,,37,32,,,,8,42,14,,16,,,,,,,14,26,11,37,23,19,,,24,,37,,,10,,11,47,30,45,1,23,,2,,,22.21,0.9253472222,42.05952381,24,5,1
Alex G - God Save The Animals,23,rock,,23,18,37,,39,,14,20,,4,2,27,,,,,42,34,,,,,,,,33,11,4,12,,2,,10,32,,,27,,21,,6,,,,23,,,20.05,0.9111570248,43.94047619,22,6,0
The Weeknd - Dawn FM,20,pop,17,,,8,11,,6,,50,,27,9,,,,25,,3,,,,,,,,13,31,18,25,,19,35,,11,,,8,37,,16,,10,,38,,,,,19.86,0.9455782313,45.14285714,21,6,0
Taylor Swift - Midnights,31,pop,1,,,3,48,16,,28,,,,,,5,18,20,,17,6,,,,,,,10,12,,,,17,40,,,5,,14,3,,18,,,10,,,50,,,17.05,0.8525,45.72619048,20,8,1
Sudan Archives - Natural Brown Prom Queen,213,r&b,,,19,,12,2,19,8,24,,10,4,,,,,,14,,,,,,,40,28,,10,22,6,,13,,2,29,,,,39,35,,,,,33,,,,18.45,0.9225,46.05952381,20,7,0
Soul Glo - Diaspora Problems,210,rock,,18,9,,1,37,,6,,,8,11,,,,,,20,,33,,,9,,28,,,14,7,49,,6,,36,,,,,,,23,9,,40,,,12,,18.80,0.94,46.14285714,20,8,1
Angel Olsen - Big Time,8,folk,18,,29,,13,,,,,,14,,7,,,9,,,42,,,,,,9,23,,,5,23,,7,36,,,,,18,42,8,,50,,9,4,15,,,19.05,0.9525,46.20238095,20,8,0
Nilüfer Yanya - PAINLESS,188,rock,,,4,,3,,,10,40,,21,,,15,,,12,10,,,,,,,32,,,5,,30,11,36,7,16,,,,,,11,,19,,15,,6,,,15.95,0.8393351801,46.76190476,19,7,0
Mitski - Laurel Hell,19,pop,28,,,44,,26,,22,43,,39,,17,10,,26,,21,21,,,,,,,30,21,,24,,,,,43,,,45,,12,25,,,20,,,11,,,26.40,1.32,47.95238095,20,1,0
Björk - Fossora,38,pop,10,,25,,,32,,,,,28,21,33,,10,6,,35,,,,18,,,25,,46,,,,,50,,12,,,,,25,38,46,,,17,47,,8,,26.60,1.33,48,20,4,0
Black Thought & Danger Mouse - Cheat Codes,39,hip hop,12,,,,,18,,32,,38,,,,,,2,,46,,,17,,,3,,,34,26,8,,16,,2,,,,25,,27,,,,12,12,,,,,19.41,1.141868512,50.05952381,17,4,0
Cate Le Bon - Pompeii,46,pop,23,,46,,,,,,,,30,17,,,38,,,22,,,,19,,21,,26,,,47,,,15,18,20,,,,,,48,,32,,10,13,36,,,26.72,1.484567901,50.36904762,18,1,0
Sharon Van Etten - We've Been Going About This All Wrong,43,rock,19,,31,,39,,,47,,,43,,,,,15,,36,22,,,,,,45,39,,25,33,,,46,46,,,,42,,40,,,,,46,19,8,,,33.74,1.775623269,50.78571429,19,1,0
Charli XCX - CRASH,21,pop,,,33,17,,50,,,,,,47,,8,,46,47,4,7,,3,,,,14,16,13,,,,,,,19,,,,23,,24,,,,,,33,,,23.76,1.397923875,50.94047619,17,4,0
Dry Cleaning - Stumpwork,150,rock,,,13,,,,,,38,,,,14,,40,,,19,,,9,,,9,,17,25,46,27,,,37,40,,16,,,,,31,,,,,24,13,,,24.59,1.446366782,51.10714286,17,2,0
Harry Styles - Harry's House,34,pop,5,,,6,,,23,19,,,,23,,,,39,,12,16,,,,,,22,48,16,,,,14,,,,,,21,5,,,,,9,,,,,,18.53,1.235555556,52.41666667,15,4,0
Arctic Monkeys - The Car,122,rock,,,,23,,,,,,,,,4,,11,50,,6,,,,49,,5,41,20,1,,38,,6,,22,,,,,,,,,,5,,23,,,,20.27,1.351111111,52.72619048,15,6,1
Yeah Yeah Yeahs - Cool It Down,113,rock,,,15,,40,,,4,34,,,,10,9,,34,,16,14,,,,,35,,,23,,,,,,45,,,,,,14,23,,,,,,17,,,22.20,1.48,53.07142857,15,3,0
Pusha T - It's Almost Dry,196,hip hop,,,,12,,13,3,1,21,,16,,,,,,,31,,,18,,,,,,17,35,,10,,21,,,,,,6,,14,,,,,,,,,15.57,1.112244898,53.19047619,14,4,1
Bad Bunny - Un Verano Sin Ti,18,pop,,36,,1,6,,2,2,46,,,7,,,,,,38,,,,,,,46,,,,,2,,,,5,,,17,2,,49,,,,,,,,,18.50,1.321428571,53.67857143,14,8,1
The 1975 - Being Funny in a Foreign Language,216,rock,,,,16,,48,,,,,,,46,3,,,,26,5,,,,,,5,,10,50,,,,,,33,,,,,,37,,17,21,,,21,,,24.14,1.724489796,54.61904762,14,4,0
FKA Twigs - CAPRISONGS,16,r&b,,,21,25,,42,24,,,,,46,,,,41,,15,,,,,,,23,,,,,17,,43,,24,,44,,8,,4,,,,,,,,,26.93,1.923469388,55.08333333,14,2,0
Steve Lacy - Gemini Rights,100,r&b,,,,7,,49,7,,,,35,16,,,,,20,18,,,,,,,43,,27,,,8,,,,,,,24,14,,,,12,,,,,,,21.54,1.656804734,55.41666667,13,3,0
Yard Act - The Overload,232,rock,,,,,,47,,,,,,,1,19,3,,,,,,,,,45,44,15,15,,45,,,,8,,18,,,,3,,,,,,,18,,,21.62,1.662721893,55.42857143,13,4,1
Beach House - Once Twice Melody,26,pop,,,,,45,,,,,,,,29,,,,13,,,,,,,,21,,,4,32,,,45,47,,13,,,,,5,,23,,18,,3,,,22.92,1.763313609,55.63095238,13,3,0
Charlotte Adigéry & Boris Pupul - Topical Dancer,138,electronic,,,5,,20,,,,,,,,,,35,,,34,,,,36,,,,18,7,,28,38,15,,,22,,,,,34,13,,,,,,,,,23.46,1.804733728,55.71428571,13,2,0
Ethel Cain - Preacher's Daughter,10,folk,6,5,,46,,4,,,1,,,,,1,,,36,23,,,,,,,,,,,40,,,12,,,,,,,,20,1,,,,,,,,16.25,1.354166667,55.89285714,12,6,3
Spoon - Lucifer on the Sofa,12,rock,,44,,,,,,34,,,,,47,,,4,,,,,,,,,15,,,17,10,,20,9,,,,,6,13,,,,,,,,25,,,20.33,1.694444444,56.47619048,12,4,0
Beth Orton - Weather Alive,106,pop,,,27,,18,,,,,,22,,,,47,49,15,,,,,,,20,,,,40,,,,,,23,31,,,,,,,,,5,14,,,,25.92,2.159722222,57.27380952,12,1,0
billy woods - Aethiopes,127,hip hop,,14,2,,26,,,,,,,1,,,,,2,,,,30,,,,,,,19,30,,,,,28,,,,,,,18,5,,1,,,7,,14.08,1.082840237,59.74468085,13,6,2
Aldous Harding - Warm Chris,120,folk,,,,,,25,,,,39,15,20,12,,33,,24,,,,,,,12,,,,,29,,,22,,,48,,,,47,36,,,,,45,42,13,,28.88,1.8046875,60.89361702,16,0,0
Denzel Curry - Melt My Eyez See Your Future,145,hip hop,,49,26,,,21,10,43,,,,,,46,45,11,,,,22,35,,,,,,22,,,,,,,,35,,30,,,,,,,4,,,,,28.50,2.035714286,62.74468085,14,2,0
The Beths - Expert in a Dying Field,217,rock,,39,,,29,,,,,18,,,,,31,7,,,,,,,,,,,,,,,,14,,47,41,,,,30,22,42,7,,,,9,,,25.85,1.98816568,63,13,3,0
Julia Jacklin - PRE PLEASURE,14,folk,,,,,,,,33,,11,,,11,30,,,,44,18,,32,,,,,,,,36,,,18,,,,,,,,,,,18,,29,26,,,25.50,2.125,63.95744681,12,0,0
Horsegirl - Versions of Modern Performance,25,rock,,,48,,,,,,12,,,,36,,,,35,,,,,,,,,,,16,18,,,27,,,,,,,13,,,15,,36,,32,25,,26.08,2.173611111,64.10638298,12,0,0
black midi - Hellfire,129,rock,,,17,,,,,,,,42,,,32,,,,,,,27,,,,,,,,39,,,,41,,25,,,,8,45,,,,24,21,40,,,30.08,2.506944444,65.12765957,12,1,0
Earl Sweatshirt - SICK!,57,hip hop,37,,49,,36,,40,,,,33,,34,,,,30,47,,,,,,,,,,,37,,,48,,17,,,,29,,42,,47,,,,,,,37.57,2.683673469,65.44680851,14,0,0
"Soccer Mommy - Sometimes, Forever",24,rock,26,,,,,,,,,40,,,41,,,43,,,49,,,,,,,,,31,15,,,16,,45,,,,42,,,,4,,,,28,,,31.67,2.638888889,65.53191489,12,1,0
Chat Pile - God's Country,139,metal,,,14,,37,,,,,,13,,,,,,,,,,,,,,,,,12,35,,,30,,39,,,,,,,7,30,,27,,,,,24.40,2.44,65.82978723,10,1,0
Bartees Strange - Farm to Table,241,rock,,46,,,,,,12,,,,,,,,,,,,,,,,,,,39,,13,,,11,,,11,,,16,29,,,43,,,,34,,,25.40,2.54,66.04255319,10,0,0
Hurray For The Riff Raff - LIFE ON EARTH,169,folk,,,,,22,,,,,,,,,,15,,,,43,,,,,30,,,,,,40,,39,,,27,,,,,12,,,,21,22,,,,27.10,2.71,66.40425532,10,0,0
Rina Sawayama - Hold The Girl,198,rock,,,,,,24,,16,,,,,,35,,,,,,,20,,,,,22,6,,,,,,,,8,,,,5,,,,,,,,,,17.00,2.125,66.72340426,8,3,0
Suede - Autofiction,493,rock,,,,,,,,,,,,,,,,,,43,,,,1,,6,49,1,,,,,,,,,,17,20,,,,,,,,,29,,,20.75,2.59375,67.36170213,8,3,2
Father John Misty - Chloë and the Next 20th Century,85,rock,,,,,,,,,,,,,,50,49,,,,,,,,,29,31,,29,,,,,,,,,,28,,44,15,,,15,,,31,,,32.10,3.21,67.46808511,10,0,0
Spiritualized - Everything Was Beautiful,111,rock,,,,,41,,,,,,,,16,,,,,,,,,22,,13,,,,21,44,,,,,,,,,,,,,29,,,30,35,,,27.89,3.098765432,67.57446809,9,0,0
Nova Twins - Supernova,189,rock,,,,,,43,,21,,,,,,11,,,,,,1,,,36,,39,,8,,,,,,,,,,,,20,,,,,,,,,,22.38,2.796875,67.63829787,8,2,1
MUNA - MUNA,5,pop,,8,,30,,,,18,,,46,,,12,,,,30,,,,,,,,,,,,39,,,,,,,,45,,,,31,,,,,,,28.78,3.197530864,67.74468085,9,1,0
Makaya McCraven - In These Times,449,jazz,,,,,,,,,,,,48,,,,,,,,,14,,,19,,,,,,7,,,,18,,,,,,,45,37,,30,44,,,,29.11,3.234567901,67.80851064,9,1,0
MJ Lenderman - Boat Songs,27,rock,,4,,,,,,49,,,,,,,,,4,,,,,,,,,,,,11,,,10,,35,,,,,,,,11,,,,,,,17.71,2.530612245,68.06382979,7,3,0
Special Interest - Endure,211,rock,,,28,,25,,,,,,,,,,,,,45,,,19,,,,50,,,6,,,,,,4,,24,,,,,,,,,,,,,25.13,3.140625,68.10638298,8,2,0
Jenny Hval - Classic Objects,426,pop,,,,,,,,,,,,15,32,,,,,28,,,,,,,,,,,,,,,,40,,,,,,50,15,,14,22,,,,,27.00,3.375,68.42553191,8,0,0
Maggie Rogers - Surrender,13,rock,21,,,14,,9,,,,,,,,,,3,,,32,,,,,,,44,,,,,,,,,45,,,49,,,,,,,,,,,27.13,3.390625,68.44680851,8,2,0
Gabriels - Angels & Queens Part I,65,r&b,45,,,,,,,,,,,,,,43,,,27,,,,35,,25,,,,,,,,,13,,17,,,,,,,,17,,,,,,27.75,3.46875,68.55319149,8,0,0
Shygirl - Nymph,208,hip hop,,,35,,,,,,9,,,,,,,,,11,,,16,,,,10,,,28,,,,,,,,,,,43,,,,,,,,,,21.71,3.102040816,68.65957447,7,2,0
Lucrecia Dalt - !Ay!,181,pop,,,,,,,,,8,,,19,,,,,,,,,,,,,,,,,,29,,,,8,,,,,,,,,,14,,,1,,13.17,2.194444444,68.70212766,6,3,1
Jack White - Fear of the Dawn,64,rock,44,,,,,,,,,,,,,,,,,,39,,,25,,8,,,,,,,,,,,2,,46,,1,,,,,,,,,,23.57,3.367346939,68.93617021,7,3,1
Rolling Blackouts Coastal Fever - Endless Rooms,327,rock,,,,,,,,,,32,,,26,,,,,,,,,,,32,,,,20,,,,,25,,,,,,22,,,,,,41,45,,,30.38,3.796875,69,8,0,0
Gwenno - Tresor,167,pop,,,,,,,,,,,,,44,,29,,,,,,25,,,28,,9,,,,,,,19,,,,,,,,,,,,18,,,,24.57,3.510204082,69.08510638,7,1,0
Michael Head & The Red Elastic Band - Dear Scott,453,folk,,,,,,,,,,,,,,,44,,,,,,,28,,1,,,,,,,,,1,,,,,,26,,,,,,3,,,,17.17,2.861111111,69.21276596,6,3,2
Oliver Sim - Hideous Bastard,190,electronic,,,,,,11,,,,23,,,,,,,,41,,,26,,,,,43,44,,,,,,43,,,,,,,,,,24,,,,,,31.88,3.984375,69.25531915,8,0,0
Gilla Band - Most Normal,164,rock,,,23,,,,,,,,,35,50,,,,,13,48,,,7,,,37,42,,,,,,,,,,,,,,,,,,,,,,,31.88,3.984375,69.25531915,8,1,0
Destroyer - LABYRINTHITIS,146,rock,,,40,,,,,,,,17,,,,,,,,,,,,,,,,,29,14,,,34,,30,,,,,,,,,,,,19,,,26.14,3.734693878,69.31914894,7,0,0
Viagra Boys - Cave World,350,rock,,6,,,,,,,,,,,,49,,,,,,,,,,,17,,,13,41,,,,,,,,,,23,,,,,,,39,,,26.86,3.836734694,69.42553191,7,1,0
Yaya Bey - Remember Your North Star,233,soul,,,,,14,19,,,27,,,,,,,,,32,,,,,,,,,,15,,,,,,9,,,,,,,,,,,,,,,19.33,3.222222222,69.4893617,6,1,0
Florence + The Machine - Dance Fever,15,pop,11,,,,,,,24,,14,,,,21,,,,,37,,,44,,,,,,,,,,41,,,,,,,,,,,,,,,,,27.43,3.918367347,69.5106383,7,0,0
Gang of Youths - angel in realtime.,270,rock,,25,,,,,,,,5,40,,,,,,,,,,,,,,,,,,,,,,,,36,,1,,,,11,,,,,,,,19.67,3.277777778,69.53191489,6,2,1
Loyle Carner - hugo,45,hip hop,22,,,,,,,,,34,,,13,38,,,,,,,,,,,,34,26,,,,,,30,,,,,,,,,,,,,,,,28.14,4.020408163,69.61702128,7,0,0
Bill Callahan - YTI⅃AƎЯ,126,folk,,,36,,,,,,,,,,,,,,,,,,,41,,7,,29,,,,,18,,,,,,,,,,,,19,,49,,,,28.43,4.06122449,69.65957447,7,1,0
Panda Bear & Sonic Boom - Reset,469,rock,,,,,,,,,,,,,,,,,11,,,,,,,24,,,,32,,,,,32,,,,,,,,,21,,,35,47,,,28.86,4.12244898,69.72340426,7,0,0
Confidence Man - TILT,140,pop,,,,,,41,,,,,,,,18,,,,,,,,,,,,35,18,42,,,,,12,,,,,,36,,,,,,,,,,28.86,4.12244898,69.72340426,7,0,0
Freddie Gibbs - $oul $old $eparately,159,hip hop,,,,,,29,22,23,,,23,12,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,21.83,3.638888889,69.80851064,6,0,0
Kevin Morby - This is a Photograph,435,rock,,,,,,,,,,,,,24,,,,,,,,,,,17,7,,32,,,,,49,,,,,,,,,,,,,31,,,,26.67,4.444444444,70.42553191,6,1,0
Vince Staples - RAMONA PARK BROKE MY HEART,225,hip hop,,,,,,5,5,,,,,37,,,,,,,,,,,,,20,,,,,,,,,,,,,19,,,,,,,,,,,17.20,3.44,70.44680851,5,2,0
Drug Church - Hygiene,149,rock,,11,,,10,,,,,,,,,,,,,,,47,,,,,,,,48,,,,,,,,,,,,,,33,,16,,,,,27.50,4.583333333,70.53191489,6,1,0
The Orielles - Tableau,503,pop,,,,,,,,,,,,,30,,,,,,,,,20,,,,,,,,,,,3,,30,,,,19,,,,,,,,,,20.40,4.08,70.78723404,5,1,0
Florist - Florist,157,folk,,,20,,,,,,41,,,,,,,,,,,,,,,,,,,44,,,,42,,27,,,,,,,,,,31,,48,,,36.14,5.163265306,70.80851064,7,0,0
The Callous Daoboys - Celebrity Therapist,218,rock,,,,,24,,,,,,,41,,,,,,,,4,,,17,,,,,,,,,,,,,,,,,,22,,,,,,,,21.60,4.32,70.91489362,5,1,0
Kojey Radical - Reason To Smile,176,hip hop,,,,,,22,,,,22,,,,27,,,,48,,,,,,,,,35,,,,,,,,33,,,,,,,,,,,,,,31.17,5.194444444,71,6,0,0
caroline - caroline,253,rock,,,,,,,,,,,,,,,,,,,,,5,,,,,,43,,,42,,,23,,,3,,,,,,,,,,,,,23.20,4.64,71.08510638,5,2,0
Wild Pink - ILYM,354,rock,,29,,,,,,41,,,,,,,,,,,,,,,,,,,,,50,,,20,,,,,,,,,16,38,,,,,,,32.33,5.388888889,71.14893617,6,0,0
Jack White - Entering Heaven Alive,279,rock,,,,,,,,36,,,,,,,,,,,,,,,,,36,,,,,,,,,,2,,46,,1,,,,,,,,,,24.20,4.84,71.19148936,5,2,1
Ezra Furman - All of Us Flames,408,rock,,,,,,,,,,,,,,26,,,,,,,,3,,,,36,,,48,,,,,,,,,,,,,,,,,10,,,24.60,4.92,71.23404255,5,2,0
Let's Eat Grandma - Two Ribbons,89,pop,,,,,,17,,,,,,,,2,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,12.50,3.125,71.27659574,4,2,0
Zach Bryan - American Heartbreak,234,country,,,,49,34,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,33,,,40,,,,,,,,34.17,5.694444444,71.38297872,6,1,0
SZA - SOS,214,r&b,,,22,,15,,,11,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,3.625,71.44680851,4,1,0
"They Hate Change - Finally, New",220,hip hop,,,,,,30,,,14,,,,,,,,,,,,10,,,,,,,,34,,,,,,,,,,46,,,,,,,,,,26.80,5.36,71.46808511,5,1,0
Nas - King's Disease III,54,hip hop,33,,,,,,14,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,14.75,3.6875,71.46808511,4,2,0
Richard Dawson - The Ruby Cord,479,folk,,,,,,,,,,,,,,,27,,,,,,13,,,,,,,,,,,,,,,4,,,,,,,,,16,,,,15.00,3.75,71.4893617,4,1,0
Tomberlin - i don't know who needs to hear this...,221,folk,,,32,,,,,,,,19,,,,,,42,,,,,,,,,,,,,,,25,,,,,,,,,,18,,,,,,,27.20,5.44,71.5106383,5,0,0
Wu-Lu - Loggerhead,230,hip hop,,,,,,12,,,44,,,,,,,,,37,,,36,,,,,,,,,,,,,,38,46,,,,,,,,,,,,,35.50,5.916666667,71.55319149,6,0,0
Ravyn Lenae - Hypnos,22,soul,,,43,,,,30,,,,29,,,,,,,,,,,,,,,,,,,18,,,,32,,,,,,,,,,,,,,,30.40,6.08,71.85106383,5,0,0
Saba - Few Good Things,202,hip hop,,,,,,34,44,17,,,,44,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,31.00,6.2,71.91489362,5,0,0
Tears for Fears - The Tipping Point,56,pop,36,,,,,44,,44,,,,,,,,33,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,38,,,38.67,6.444444444,71.95744681,6,0,0
Just Mustard - Heart Under,432,rock,,,,,,,,,,,,,21,,,,,,27,,,,,,,,50,,,,,,29,,,,,,,,,,,33,,,,,32.00,6.4,72.0212766,5,0,0
Omar Apollo - IVORY,191,r&b,,,,9,,,25,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,22.25,5.5625,72.10638298,4,1,0
"Drake - Honestly, Nevermind",147,hip hop,,,,27,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,29,,,,,,,,,22.75,5.6875,72.14893617,4,0,0
Stella Donnelly - Flood,492,pop,,,,,,,,,,,,,38,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,23.00,5.75,72.17021277,4,1,1
Hot Chip - Freakout / Release,529,pop,,,,,,,,,,,,,,,,,,,28,,,,,,,6,,,,,,,,,22,,,,38,,,,,,,,,,23.50,5.875,72.21276596,4,1,0
Paolo Nutini - Last Night in the Bittersweet,313,soul,,,,,,,,,,27,,,,,,,,,25,,,,,,30,,,,,,12,,,,,,,,,,,,,,,,,,23.50,5.875,72.21276596,4,0,0
Courtney Marie Andrews - Loose Future,95,folk,,,,,,,,,,,,50,,,,44,,,,,,,,,,,,,,,,,,,,,,,33,,,,6,,38,,,,34.20,6.84,72.25531915,5,1,0
Utada Hikaru - BAD Mode,223,pop,,,37,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,31,,,,,,9,,,,,,,,,24.00,6,72.25531915,4,1,0
Ghost - IMPERA,706,rock,,,,,,,,,,,,,,,,,,,,5,,,1,,19,,,,,,,,,,,,,,,,,,,,,,,,8.33,2.777777778,72.34042553,3,2,1
SAULT - AIR,41,r&b,15,,,,,,,,,,,26,,,,,39,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,25.25,6.3125,72.36170213,4,0,0
Amber Mark - Three Dimensions Deep,48,r&b,25,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,5,,,,44,,,,,,,,,,,,,,,25.50,6.375,72.38297872,4,1,0
Alexisonfire - Otherness,237,rock,,,,,,,,,,35,11,,,,,,,,,17,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,26.50,6.625,72.46808511,4,0,0
Death Cab For Cutie - Asphalt Meadows,662,rock,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,37,,,34,,,,,,12,,,26.75,6.6875,72.4893617,4,0,0
Red Hot Chili Peppers - Unlimited Love,88,rock,,,,,,46,,48,,,,,,,,17,,,30,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,36.40,7.28,72.4893617,5,0,0
The Wonder Years - The Hum Goes On,219,rock,,9,,,43,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,26.75,6.6875,72.4893617,4,2,0
Roc Marciano & The Alchemist - The Elephant Man's Bones,200,hip hop,,,,,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,38,,27.25,6.8125,72.53191489,4,0,0
Yeule - Glitch Princess,358,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,50,,,,,,7,,9,,,,,,,,27.50,6.875,72.55319149,4,2,0
Osees - A Foul Form,875,rock,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,10,,,,,,17,,,,,,,,,,11.67,3.888888889,72.55319149,3,2,0
Lizzo - Special,180,r&b,,,,11,,,,,,49,,,,,,14,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,27.50,6.875,72.55319149,4,0,0
Fred Again.. - Actual Life 3,158,electronic,,,,41,,,,,,19,,,,24,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,28.00,7,72.59574468,4,0,0
Kae Tempest - The Line is a Curve,171,hip hop,,,,,,,,,,25,,,,,,,,,13,,,,,,,41,,,,,,,,,,,,,35,,,,,,,,,,28.50,7.125,72.63829787,4,0,0
JID - The Forever Story,281,hip hop,,,,,,,9,13,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,47,,,,,,,,28.75,7.1875,72.65957447,4,1,0
Pool Kids - Pool Kids,194,rock,,3,,,31,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,29.00,7.25,72.68085106,4,1,0
Perfume Genius - Ugly Season,11,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,23,,26,43,,,,,,,,,,,,,,29.50,7.375,72.72340426,4,0,0
Drive-By Truckers - Welcome 2 Club XIII,404,country,,,,,,,,,,,,,,,28,,,,,,,,,23,,,,,,,,,,,,,18,,,,,,,,50,,,,29.75,7.4375,72.74468085,4,0,0
"Porridge Radio - Waterslide, Diving Board, Ladder to the Sky",195,rock,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,20,,,17,,,,40,,,,,,,,,,,,,30.00,7.5,72.76595745,4,0,0
Bonobo - Fragments,58,electronic,38,,,,,,,,,37,,,,,,,,,,,,,,,18,,,,,,,,28,,,,,,,,,,,,,,,,30.25,7.5625,72.78723404,4,0,0
Naima Bock - Giant Palm,186,folk,,,,,42,33,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,24,,,,,,,30.25,7.5625,72.78723404,4,0,0
Sorry - Anywhere But Here,491,rock,,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,44,,,30.50,7.625,72.80851064,4,0,0
Sea Power - Everything Was Forever,932,rock,,,,,,,,,,,,,,,,,,,,,,9,,,,32,,,,,,,,,,6,,,,,,,,,,,,,15.67,5.222222222,72.80851064,3,2,0
Obongjayar - Some Nights I Dream of Doors,68,r&b,48,,,,,14,,,,31,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.25,7.8125,72.87234043,4,0,0
Miranda Lambert - Palomino,59,country,39,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,34,,,,,,,31.25,7.8125,72.87234043,4,0,0
Anxious - Little Green House,121,rock,,13,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,16.67,5.555555556,72.87234043,3,1,0
